date_of_week,location,address,banner,latitude,longitude,ice_store_id,store_name,store_state,State Name,store_city,covered_notcovered,chain_name,strategic_tiering,segment_name,dealer_type,weekly_sales,ID,segment_name_changed,Product Model,Actual Sellout,Target,4 Cycle,4_Cycle_Sellout,4_Cycle_Achievement,Cycle,Cycle_Sellout,Cycle_Achievement,Quadrant
09-03-2023,077Y,61 Broadway St Dry Ridge KY 41035 USA,BLUE LINK WIRELESS LLC,38.6813342,-84.5968414,ICE00028-131422,ATT BlueLink // 61 Broadway Street - Dry Ridge,KY,Kentucky,0,Uncovered,Carrier - AT&T - DLR,4 & 5,Low Priority,DLR,0,ICE00028-131422_Pixel 6a,Low Priority,Pixel 6a,0,0,,0,200.00%,,0,0.00%,Q3
09-03-2023,077Y,61 Broadway St Dry Ridge KY 41035 USA,BLUE LINK WIRELESS LLC,38.6813342,-84.5968414,ICE00028-131422,ATT BlueLink // 61 Broadway Street - Dry Ridge,KY,Kentucky,Dry Ridge,Uncovered,Carrier - AT&T - DLR,4 & 5,Low Priority,DLR,0,ICE00028-131422_Pixel 7,Low Priority,Pixel 7,0,0.09,45,0,400.00%,12,0,0.00%,Q3
09-03-2023,077Y,61 Broadway St Dry Ridge KY 41035 USA,BLUE LINK WIRELESS LLC,38.6813342,-84.5968414,ICE00028-131422,ATT BlueLink // 61 Broadway Street - Dry Ridge,KY,Kentucky,Dry Ridge,Uncovered,Carrier - AT&T - DLR,4 & 5,Low Priority,DLR,0,ICE00028-131422_Pixel 7 Pro,Low Priority,Pixel 7 Pro,0,0.2,20,0,500.00%,5,0,200.00%,Q3
09-03-2023,077Y,61 Broadway St Dry Ridge KY 41035 USA,BLUE LINK WIRELESS LLC,38.6813342,-84.5968414,ICE00028-131422,ATT BlueLink // 61 Broadway Street - Dry Ridge,KY,Kentucky,Dry Ridge,Uncovered,Carrier - AT&T - DLR,4 & 5,Low Priority,DLR,0,ICE00028-131422_Pixel 7a,Low Priority,Pixel 7a,0,0.26,16,0,320.00%,4,0,320.00%,Q3
09-03-2023,077Y,61 Broadway St Dry Ridge KY 41035 USA,BLUE LINK WIRELESS LLC,38.6813342,-84.5968414,ICE00028-131422,ATT BlueLink // 61 Broadway Street - Dry Ridge,KY,Kentucky,Dry Ridge,Uncovered,Carrier - AT&T - DLR,4 & 5,Low Priority,DLR,0,ICE00028-131422_Pixel Fold,Low Priority,Pixel Fold,0,0.09,45,0,8.00%,12,0,142.00%,Q3
09-03-2023,0FJ9,14303 East Sam Houston Pkwy N Suite 600 Houston TX 77044 USA,MY WIRELESS,29.9281514,-95.2034259,ICE00028-131125,ATT MyWireless // 14303 E Sam Houston Suite 600 - Houston,TX,Texas,Houston,Uncovered,Carrier - AT&T - DLR,4 & 5,Low Priority,DLR,0,ICE00028-131125_Pixel 6a,Low Priority,Pixel 6a,0,0,,0,12.00%,,0,0.00%,Q3
09-03-2023,0FJ9,14303 East Sam Houston Pkwy N Suite 600 Houston TX 77044 USA,MY WIRELESS,29.9281514,-95.2034259,ICE00028-131125,ATT MyWireless // 14303 E Sam Houston Suite 600 - Houston,TX,Texas,Houston,Uncovered,Carrier - AT&T - DLR,4 & 5,Low Priority,DLR,0,ICE00028-131125_Pixel 7,Low Priority,Pixel 7,0,0.09,45,1,24.69%,12,0,0.00%,Q2
09-03-2023,0FJ9,14303 East Sam Houston Pkwy N Suite 600 Houston TX 77044 USA,MY WIRELESS,29.9281514,-95.2034259,ICE00028-131125,ATT MyWireless // 14303 E Sam Houston Suite 600 - Houston,TX,Texas,Houston,Uncovered,Carrier - AT&T - DLR,4 & 5,Low Priority,DLR,0,ICE00028-131125_Pixel 7 Pro,Low Priority,Pixel 7 Pro,0,0.2,20,0,67.00%,5,0,0.00%,Q3
09-03-2023,0FJ9,14303 East Sam Houston Pkwy N Suite 600 Houston TX 77044 USA,MY WIRELESS,29.9281514,-95.2034259,ICE00028-131125,ATT MyWireless // 14303 E Sam Houston Suite 600 - Houston,TX,Texas,Houston,Uncovered,Carrier - AT&T - DLR,4 & 5,Low Priority,DLR,0,ICE00028-131125_Pixel 7a,Low Priority,Pixel 7a,0,0.26,16,0,0.00%,4,0,0.00%,Q3
09-03-2023,0FJ9,14303 East Sam Houston Pkwy N Suite 600 Houston TX 77044 USA,MY WIRELESS,29.9281514,-95.2034259,ICE00028-131125,ATT MyWireless // 14303 E Sam Houston Suite 600 - Houston,TX,Texas,Houston,Uncovered,Carrier - AT&T - DLR,4 & 5,Low Priority,DLR,0,ICE00028-131125_Pixel Fold,Low Priority,Pixel Fold,0,0.09,45,1,24.69%,12,1,92.59%,Q1
09-03-2023,0LE6,28050 Walker South Rd Walker LA 70785 USA,BLUE LINK WIRELESS LLC,30.4749709,-90.860439,ICE00028-124975,ATT BlueLink // 28050 Walker South Rd - Walker,LA,Louisiana,WALKER,Covered,Carrier - AT&T - DLR,4 & 5,Low Priority,DLR,0,ICE00028-124975_Pixel 6a,Low Priority,Pixel 6a,0,0,,0,0.00%,,0,0.00%,Q3
09-03-2023,0LE6,28050 Walker South Rd Walker LA 70785 USA,BLUE LINK WIRELESS LLC,30.4749709,-90.860439,ICE00028-124975,`,LA,Louisiana,WALKER,Covered,Carrier - AT&T - DLR,4 & 5,Low Priority,DLR,0,ICE00028-124975_Pixel 7,Low Priority,Pixel 7,0,0.09,45,0,0.00%,12,0,0.00%,Q3
09-03-2023,0LE6,28050 Walker South Rd Walker LA 70785 USA,BLUE LINK WIRELESS LLC,30.4749709,-90.860439,ICE00028-124975,ATT BlueLink // 28050 Walker South Rd - Walker,LA,Louisiana,WALKER,Covered,Carrier - AT&T - DLR,4 & 5,Low Priority,DLR,0,ICE00028-124975_Pixel 7 Pro,Low Priority,Pixel 7 Pro,0,0.2,20,0,0.00%,5,0,0.00%,Q3
09-03-2023,0LE6,28050 Walker South Rd Walker LA 70785 USA,BLUE LINK WIRELESS LLC,30.4749709,-90.860439,ICE00028-124975,ATT BlueLink // 28050 Walker South Rd - Walker,LA,Louisiana,WALKER,Covered,Carrier - AT&T - DLR,4 & 5,Low Priority,DLR,0,ICE00028-124975_Pixel 7a,Low Priority,Pixel 7a,0,0.26,16,0,0.00%,4,0,0.00%,Q3
09-03-2023,0LE6,28050 Walker South Rd Walker LA 70785 USA,BLUE LINK WIRELESS LLC,30.4749709,-90.860439,ICE00028-124975,ATT BlueLink // 28050 Walker South Rd - Walker,LA,Louisiana,WALKER,Covered,Carrier - AT&T - DLR,4 & 5,Low Priority,DLR,0,ICE00028-124975_Pixel Fold,Low Priority,Pixel Fold,0,0.09,45,0,0.00%,12,0,0.00%,Q3
09-03-2023,0MZJ,7017 Spring Mountain Rd Suite 103 Las Vegas NV 89117 USA,MY WIRELESS,36.1252749,-115.2462693,ICE00028-119783,ATT MyWireless // 7017 Spring Mountain Rd Ste 103 - Las Vegas,NV,North Carolina,Las Vegas,Covered,Carrier - AT&T - DLR,4 & 5,Monitor,DLR,0,ICE00028-119783_Pixel 6a,Monitor,Pixel 6a,0,0,,0,0.00%,,0,0.00%,Q3
09-03-2023,0MZJ,7017 Spring Mountain Rd Suite 103 Las Vegas NV 89117 USA,MY WIRELESS,36.1252749,-115.2462693,ICE00028-119783,ATT MyWireless // 7017 Spring Mountain Rd Ste 103 - Las Vegas,NV,North Carolina,Las Vegas,Covered,Carrier - AT&T - DLR,4 & 5,Monitor,DLR,0,ICE00028-119783_Pixel 7,Monitor,Pixel 7,0,0.08,50,2,50.00%,13,0,0.00%,Q2
09-03-2023,0MZJ,7017 Spring Mountain Rd Suite 103 Las Vegas NV 89117 USA,MY WIRELESS,36.1252749,-115.2462693,ICE00028-119783,ATT MyWireless // 7017 Spring Mountain Rd Ste 103 - Las Vegas,NV,North Carolina,Las Vegas,Covered,Carrier - AT&T - DLR,4 & 5,Monitor,DLR,0,ICE00028-119783_Pixel 7 Pro,Monitor,Pixel 7 Pro,0,0.18,23,0,0.00%,6,0,0.00%,Q3
09-03-2023,0MZJ,7017 Spring Mountain Rd Suite 103 Las Vegas NV 89117 USA,MY WIRELESS,36.1252749,-115.2462693,ICE00028-119783,ATT MyWireless // 7017 Spring Mountain Rd Ste 103 - Las Vegas,NV,North Carolina,Las Vegas,Covered,Carrier - AT&T - DLR,4 & 5,Monitor,DLR,0,ICE00028-119783_Pixel 7a,Monitor,Pixel 7a,0,0.23,18,0,0.00%,5,0,0.00%,Q3
09-03-2023,0MZJ,7017 Spring Mountain Rd Suite 103 Las Vegas NV 89117 USA,MY WIRELESS,36.1252749,-115.2462693,ICE00028-119783,ATT MyWireless // 7017 Spring Mountain Rd Ste 103 - Las Vegas,NV,North Carolina,Las Vegas,Covered,Carrier - AT&T - DLR,4 & 5,Monitor,DLR,0,ICE00028-119783_Pixel Fold,Monitor,Pixel Fold,0,0.08,50,0,0.00%,13,0,0.00%,Q3
09-03-2023,0N79,279 E Big Beaver Rd Troy MI 48083 USA,MMS GROUP INC.,42.5629552,-83.1419558,ICE00028-131201,ATT MMS // 279 Big Beaver Road - Troy,MI,Michigan,Troy,Uncovered,Carrier - AT&T - DLR,1,Monitor,DLR,0,ICE00028-131201_Pixel 6a,Monitor,Pixel 6a,0,0,,0,0.00%,,0,0.00%,Q3
09-03-2023,0N79,279 E Big Beaver Rd Troy MI 48083 USA,MMS GROUP INC.,42.5629552,-83.1419558,ICE00028-131201,ATT MMS // 279 Big Beaver Road - Troy,MI,Michigan,Troy,Uncovered,Carrier - AT&T - DLR,3 & 5,Monitor,DLR,0,ICE00028-131201_Pixel 7,Monitor,Pixel 7,0,0.08,50,1,25.00%,13,0,0.00%,Q2
09-03-2023,0N79,279 E Big Beaver Rd Troy MI 48083 USA,MMS GROUP INC.,42.5629552,-83.1419558,ICE00028-131201,ATT MMS // 279 Big Beaver Road - Troy,MI,Michigan,Troy,Uncovered,Carrier - AT&T - DLR,4 & 5,Monitor,DLR,0,ICE00028-131201_Pixel 7 Pro,Monitor,Pixel 7 Pro,0,0.18,23,0,0.00%,6,0,0.00%,Q3
09-03-2023,0N79,279 E Big Beaver Rd Troy MI 48083 USA,MMS GROUP INC.,42.5629552,-83.1419558,ICE00028-131201,ATT MMS // 279 Big Beaver Road - Troy,MI,Michigan,Troy,Uncovered,Carrier - AT&T - DLR,4 & 5,Monitor,DLR,0,ICE00028-131201_Pixel 7a,Monitor,Pixel 7a,0,0.23,18,0,0.00%,5,0,0.00%,Q3
